drug_id,ID,UP,Entrezid
DB09000,DMZ6YPV,P28335;P08908;P28223;P34969,3358;3350;3356;3363
DB09008,DM4Y95F,,
DB09010,DM3YFG9,,
DB09013,DMV15JC,,
DB09017,DMGXD5T,,
DB09023,DM0J92L,P08912,1133
DB09026,DM1BV7W,P00797,5972
DB09027,DMSL3DX,,
DB09028,DMUF0BJ,P36544;P43681;Q15822;P30926;P17787,1139;1137;1135;1143;1141
DB09030,DMA16BR,P25116,2149
DB09031,DMND304,P04054,5319
DB09034,DM0E6S3,O43614,3062
DB09035,DMAB9QE,Q15116,5133
DB09036,DMGEATB,P05231,3569
DB09036,DMVO7UW,P05231,3569
DB09037,DMFQEA6,Q15116,5133
DB09038,DMRF9YK,P31639,6524
DB09040,DMFA9MV,P10613,
DB09041,DM3ED1A,,
DB09043,DM1JEGF,P43220,2740
DB09045,DMYXBV3,P43220,2740
DB09046,DM1NOEK,P48357,3953
DB09047,DMZEONG,P20831;P0A0K8;Q6G9K4,
DB09048,DMEKAYI,P25103,6869
DB09049,DML0B41,P35372,4988
DB09052,DMGECIJ,P15391,930
DB09053,DMHZCPO,Q06187,695
DB09054,DM602WT,O00329,5293
DB09059,DMB7WYM,P30518;P37288;P30559;P47901,554;552;5021;553
DB09060,DM1AEH4,,
DB09061,DM0659E,,
DB09063,DMB920Z,Q9UM73,238
DB09064,DMGC5DB,Q07869,5465
DB09065,DM6L4H2,,
DB09068,DM6F1PU,P31645,6532
DB09070,DM78XFG,,
DB09071,DMLOQ1V,P48039;P49286,4543;4544
DB09072,DMCIWZL,,
DB09073,DMD7L94,P11802;Q00534,1019;1021
DB09074,DM8QB1D,,
DB09076,DM4E8O9,P08912,1133
DB09078,DMB1IU4,P35968,3791
DB09079,DMSTA36,P11362;P36888,2260;2322
DB09080,DM62B78,P07550,154
DB09081,DMQFDRC,,
DB09082,DMF5EK1,P07550,154
DB09083,DM0L594,,
DB09084,DMEQL9U,P23219;P35354,5742;5743
DB09085,DM9J6C2,Q9Y5Y9,6336
DB09086,DM7US1H,P27338;P10275,4129;367
DB09089,DMPYQ7B,,
DB09090,DM4OIMZ,,
DB09097,DM7WI4Q,P14416,1813
DB09099,DMIOFQE,P35372;P30874;P41143;P32745;P30872;P35346;P31391,4988;6752;4985;6753;6751;6755;6754
DB09101,DMG9B1U,,
DB09102,DMSFK9V,,
DB09107,DMK1LZD,P19235,2057
DB09108,DM3LDFB,P00451,2157
DB09109,DMPBJ8W,P00451,2157
DB09116,DM3W15N,P00352;P05091;P30837,216;217;219
DB09117,DMOC1BX,,
DB09118,DMMSDOY,Q99928,2567
DB09119,DMREUZV,,
DB09123,DMZK0FQ,,
DB09124,DMNEAJG,,
DB09128,DMHG57U,P14416;P08908,1813;3350
DB09142,DMN0J4W,P32239;P32238,887;886
DB09143,DMM9F25,Q99835,6608
DB09147,DMLAYTP,,
DB09149,DMJ8A3Z,P05067,351
DB09153,DMM3950,,
DB09154,DMHPD2Y,P22748,762
DB09166,DM8TNX3,,
DB09173,DM9X2FV,,
DB09183,DM7TOWX,,
DB09186,DMZBNH0,P31645;P23975;Q01959,6532;6530;6531
DB09194,DMR7U8F,,
DB09195,DMK5J9M,,
DB09198,DMHY3IP,P37231;Q07869,5468;5465
DB09201,DMAPO0T,P37231,5468
DB09202,DMU6JOK,P18825,152
DB09204,DML1VXW,,
DB09205,DMFCLYW,P25100,146
DB09206,DM1QLST,P25100,146
DB09212,DM1PV4Y,,
DB09213,DMFYBD0,P23219;P35354,5742;5743
DB09215,DMRZ5D7,P23219;P35354,5742;5743
DB09216,DM8J0MK,,
DB09217,DMP6GNY,P35354,5743
DB09220,DMIYJFV,O60706,10060
DB09223,DM36C17,P14416;P28223,1813;3356
DB09225,DMF3VXA,P28223,3356
DB09227,DMJSDBE,,
DB09230,DMA12HL,,
DB09231,DMWNP6B,,
DB09232,DM1975O,Q00975,774
DB09237,DM92S6N,,
DB09238,DMJPGUA,P25779,
DB09239,DMSPWMF,P25100;P35348;P35368;Q13936,146;148;147;775
DB09241,DMJAPE7,,
DB09242,DMGFB0E,P18825;P08913;P18089,152;150;151
DB09245,DMHV5NK,P27338;P21397,4129;4128
DB09256,DM31ZQM,,
DB09265,DM0QJDC,P43220,2740
DB09272,DMYZ0P1,P35372;P41143,4988;4985
DB09273,DMEDKZH,,
DB09274,DMR27C8,,
DB09280,DMCLWDJ,P13569,1080
DB09282,DM9MA8O,,
DB09283,DMY67U8,P22607,2261
DB09285,DM9UTDE,P23219;P35354,5742;5743
DB09288,DM2BO9W,,
DB09289,DMYN8MA,P31645,6532
DB09290,DMH7GN8,,
DB09291,DM8XP26,P25103,6869
DB09296,DMNQ869,,
DB09296,DMQIMTK,,
DB09297,DM4N7BT,,
DB09299,DM1ECNJ,,
DB09299,DMHOV7D,,
DB09299,DMTQF4A,,
DB09300,DMZKXB7,P08912,1133
DB09301,DM0N19Y,,
DB09330,DMRJLAT,P00533,1956
DB09331,DMKCIUZ,P28907,952
DB09340,DM91UKB,,
DB09351,DMSREPX,P08588,153
DB09352,DMJAS3O,,
DB09363,DMWTVAN,Q13936,775
DB09369,DM0PMGJ,P18405;P31213;Q9H8P0,6715;6716;79644
DB09378,DMZWBKG,,
DB09383,DMTL9IP,P04150,2908
DB09395,DMH21E0,,
DB09421,DMGN5QD,P34981,7201
DB09477,DMFYAM1,,
DB09477,DMPRBQV,P12821,1636
DB09488,DMTIGA0,P35367,3269
DB09526,DM6AVR4,P08514;P05106;P14679,3674;3690;7299
DB09543,DMKCG8H,O75762,8989
DB09555,DMA8DPN,P35367,3269
DB09559,DMKOJSN,P00533,1956
DB09564,DMPL395,P01308,3630
DB11085,DMM37C0,P23219;O43570;P00918;Q9ULX7,5742;771;760;23632
DB11091,DM1NG5W,P18031,5770
DB11117,DMLJ2HE,P07384,823
DB11121,DMM75WZ,,
DB11125,DMHKZX1,,
DB11127,DMB7GPA,,
DB11135,DM25CGV,,
DB11145,DMZVS9Y,P50579,10988
DB11156,DMG2X3E,,
DB11160,DMKAEQW,P14416;P21728;P21917;P21918,1813;1812;1815;1816
DB11182,DM3NBQ6,P48050,3761
DB11254,DM36JUD,P14679,7299
DB11259,DM4KXIM,Q16678,1545
DB11259,DMT7ZEL,P40763,6774
DB11268,DM4O3DW,P27338,4129
DB11274,DMDW2NL,P41595;P34969,3357;3363
DB11288,DMWBV1P,Q8NET8,162514
DB11315,DM5VWOB,P20309;P08172,1131;1129
DB11359,DMN4E7T,P00918,760
DB11362,DMAHSU0,P43119,5739
DB11363,DMP1I6Y,Q9UM73,238
DB11366,DMMK42O,P60568,3558
DB11371,DMI4OTW,,
DB11376,DMKI2GJ,P14416;P35462,1813;1814
DB11389,DMU6FOG,P47669,
DB11396,DM37KVY,,
DB11396,DMDKXYC,,
DB11404,DMK6WIO,,
DB11412,DMKEG49,,
DB11428,DMX9Y7V,P18825;P25100;P08913;P35348;P35368;P18089,152;146;150;148;147;151
DB11429,DM6HDKQ,P10275;P10275,367;367
DB11442,DMVAOME,,
DB11446,DMSNL51,,
DB11466,DMVS61L,P09917;P05112,240;3565
DB11475,DM3BS97,,
DB11477,DMSXJUW,P18825;P18089,152;151
DB11490,DM1SCU5,P41145,4986
DB11502,DM584TM,,
DB11504,DMJFPA9,P11229;P08172,1128;1129
DB11512,DMPDQSV,,
DB11519,DM9Q2PG,P43088;P21731;P43115,5737;6915;5733
DB11521,DM78UPQ,P22303,43
DB11526,DMRSNEU,P12931,6714
DB11560,DMUR64T,Q96S37,116085
DB11562,DMA6VQW,,
DB11569,DMXW92T,Q16552,3605
DB11574,DMJLE18,,
DB11575,DM9BPLW,,
DB11580,DMSWNJF,P01031,727
DB11580,DMVKL3B,P01031,727
DB11581,DM8I94Y,,
DB11581,DMH0QKA,P10415,596
DB11582,DMEPWYA,P14867;P47870;P23415;P23415;P23416;O75311;Q5JXX5;P48167;P18507,2554;2561;2741;2741;2742;8001;2743;2566
DB11586,DMQI43G,,
DB11595,DMMF8U0,Q9NZQ7,29126
DB11610,DMRKOS1,,
DB11611,DM4WVC5,P05362;P20701,3383;3683
DB11613,DM9OEK1,,
DB11613,DMGF8ZQ,,
DB11614,DMBPN7T,P35367;P25105,3269;5724
DB11619,DMP0OVQ,P03372,2099
DB11620,DMMPG5V,P14324,2224
DB11622,DMCDLH2,,
DB11623,DMQIWZL,P08473,4311
DB11629,DM5FABJ,P04035;P43088;P43119;P43116;P21731;Q13258;Q9Y5Y4,3156;5737;5739;5732;6915;5729;11251
DB11632,DM1BKA6,P21964,1312
DB11633,DMSV12M,,
DB11636,DMRP8XB,,
DB11637,DMXE76K,,
DB11640,DMK08L3,,
DB11642,DM8RFNJ,Q9Y5N1,11255
DB11648,DMZHB37,P31749,207
DB11651,DMKBRDL,P42345;P48736,2475;5294
DB11652,DMBESUA,P04626,2064
DB11653,DM20LIM,Q01726;P32245,4157;4160
DB11656,DM2GHCR,P21462,2357
DB11662,DMCXRZF,O14757,1111
DB11663,DM1YAK6,P48736,5294
DB11666,DM1WEHC,O00329;P42336;P48736;P42338,5293;5290;5294;5291
DB11667,DM1WNGJ,,
DB11672,DMQPH29,P23219;P00915;P35354;P23280;O43570;P00918;P22748;Q9ULX7;P47989;P05067;P14780;P35228;Q16790;P08684;P45452;Q9UBC3,5742;759;5743;765;771;760;762;23632;7498;351;4318;4843;768;1576;4322;1789
DB11673,DMVDCGZ,Q15109,177
DB11674,DMZMSQJ,Q92731,2100
DB11675,DM2VOQ3,Q13639,3360
DB11676,DMG9C4I,,
DB11689,DMBJ1E0,Q02750;P36507,5604;5605
