"Genes","cluster","logFC_4","P.Value_4","logFC_8","P.Value_8","logFC_12","P.Value_12","logFC_16","P.Value_16","significant_timepoints","direction_type","Host factor type","logFC_mean_sig","logFC_abs_max_sig","logFC_max_with_sign_sig","pattern"
"PAOX",1,-0.25206605,0.019395882,-0.010240897,0.905194171,-0.156618671,0.074645684,-0.706761623,1.56e-07,"16h","all_down","0",-0.706761623,0.706761623,-0.706761623,"16h_all_down"
"PAPD5",5,0.025809096,0.67475008,0.089365887,0.228895917,0.080450971,0.242371574,0.654973241,2.04e-07,"16h","all_up","0",0.654973241,0.654973241,0.654973241,"16h_all_up"
"PARP16",4,-0.020719418,0.830231485,-0.274914847,0.015273605,-0.04045575,0.803920097,-0.662918085,4.53e-05,"16h","all_down","0",-0.662918085,0.662918085,-0.662918085,"16h_all_down"
"PASK",4,-0.004364014,0.965906038,0.005519316,0.960329871,0.085624103,0.379577751,-0.975490544,2.24e-06,"16h","all_down","0",-0.975490544,0.975490544,-0.975490544,"16h_all_down"
"PCLO",5,0.018780429,0.731421106,0.045713647,0.578987027,0.277879362,0.018690202,0.898834614,1.32e-09,"16h","all_up","0",0.898834614,0.898834614,0.898834614,"16h_all_up"
"PCNA",4,0.065130516,0.438421989,-0.275660022,0.00177395,-0.156490326,0.047539534,-0.645993296,3.58e-07,"16h","all_down","HDF",-0.645993296,0.645993296,-0.645993296,"16h_all_down"
"PDIA4",5,0.036510906,0.741464819,-0.197925546,0.292800502,0.586770404,0.00654526,1.468401776,1.13e-09,"12h,16h","all_up","0",1.02758609,1.468401776,1.468401776,"12h,16h_all_up"
"PDIA6",6,0.183280636,0.190903497,0.055438984,0.632765785,0.360823142,0.003703625,0.703017012,0.000182943,"16h","all_up","HDF",0.703017012,0.703017012,0.703017012,"16h_all_up"
"PELI3",4,-0.136091165,0.384904258,0.516679765,0.011180303,-0.041714928,0.833946348,-0.692701248,1.36e-06,"16h","all_down","0",-0.692701248,0.692701248,-0.692701248,"16h_all_down"
"PGBD5",4,-0.092395589,0.530475513,-0.310470913,0.06269973,-0.039238976,0.803338446,-0.646409854,7.78e-07,"16h","all_down","0",-0.646409854,0.646409854,-0.646409854,"16h_all_down"
"PHLDA2",2,-0.141578853,0.187018634,0.06729531,0.497773215,0.042801792,0.657304407,0.665029496,0.000123213,"16h","all_up","0",0.665029496,0.665029496,0.665029496,"16h_all_up"
"PI15",5,0.069109925,0.350893102,0.255224072,0.007878552,0.156396249,0.1166149,0.749722117,6.02e-06,"16h","all_up","0",0.749722117,0.749722117,0.749722117,"16h_all_up"
"PIF1",5,-0.064394772,0.626638833,0.328158322,0.007981261,0.323824444,0.002300163,0.914205188,1.16e-08,"16h","all_up","0",0.914205188,0.914205188,0.914205188,"16h_all_up"
"PLA2G4C",5,-0.025894359,0.753935372,0.375568327,0.002563311,0.130937266,0.301404333,0.700071181,1.71e-09,"16h","all_up","0",0.700071181,0.700071181,0.700071181,"16h_all_up"
"PLAC8L1",5,0.048476718,0.478351092,0.261924522,0.011284342,0.3634329,0.001129935,1.427630696,8.47e-12,"16h","all_up","0",1.427630696,1.427630696,1.427630696,"16h_all_up"
"PLEKHA6",5,-0.023168624,0.62747673,0.057886796,0.342593537,0.097149006,0.088571723,0.936642633,2.78e-09,"16h","all_up","0",0.936642633,0.936642633,0.936642633,"16h_all_up"
"PLIN4",5,-0.02020776,0.816740435,0.340650433,0.000612355,0.168439137,0.047287071,1.091265253,9.45e-11,"16h","all_up","0",1.091265253,1.091265253,1.091265253,"16h_all_up"
"PLK3",2,-0.203545363,0.093856894,0.209227072,0.044351513,0.176213458,0.077992505,1.020225594,8.88e-09,"16h","all_up","HDF",1.020225594,1.020225594,1.020225594,"16h_all_up"
"PLSCR2",5,0.039038903,0.241329259,-0.003422554,0.921776045,0.226772605,1.44e-05,0.68421892,0.000268925,"16h","all_up","0",0.68421892,0.68421892,0.68421892,"16h_all_up"
"PMAIP1",5,0.066048244,0.372254603,-0.056695468,0.459722263,0.20441214,0.024169944,0.763680342,6.51e-08,"16h","all_up","HDF",0.763680342,0.763680342,0.763680342,"16h_all_up"
"PMEPA1",2,-0.162127535,0.186417591,0.025020922,0.88382911,0.070077823,0.642038756,0.751513518,6.99e-05,"16h","all_up","0",0.751513518,0.751513518,0.751513518,"16h_all_up"
"PMP22",4,-0.050408222,0.659517855,0.191151806,0.07175878,-0.154833896,0.119619611,-0.71406343,1.6e-07,"16h","all_down","0",-0.71406343,0.71406343,-0.71406343,"16h_all_down"
"PNMA2",4,0.181857505,0.108346466,-0.034794429,0.662744175,0.058318279,0.505303556,-0.67318552,3.04e-06,"16h","all_down","0",-0.67318552,0.67318552,-0.67318552,"16h_all_down"
"POLD3",4,0.097103258,0.216612678,0.012114818,0.905689698,-0.12296634,0.218905163,-0.73240576,1.46e-07,"16h","all_down","HRF",-0.73240576,0.73240576,-0.73240576,"16h_all_down"
"POPDC2",5,-0.035756603,0.704451371,0.22250047,0.014994276,0.040319394,0.707095961,0.615338161,1.03e-07,"16h","all_up","0",0.615338161,0.615338161,0.615338161,"16h_all_up"
"PP14571",5,0.053721989,0.128464265,0.042969479,0.317450928,0.162770038,0.015954597,0.913299691,5.41e-09,"16h","all_up","0",0.913299691,0.913299691,0.913299691,"16h_all_up"
"PPAN-P2RY11",5,0.068608197,0.319321438,0.01344293,0.792418134,0.271099882,0.000348493,1.153718765,7.23e-10,"16h","all_up","0",1.153718765,1.153718765,1.153718765,"16h_all_up"
"PPAP2B",4,0.064140526,0.464826686,0.175094178,0.073728867,-0.129035998,0.24248466,-0.702213728,3.12e-06,"16h","all_down","0",-0.702213728,0.702213728,-0.702213728,"16h_all_down"
"PPFIA4",1,-0.287209188,0.032461289,0.027848095,0.810311531,0.334021928,0.007802801,-0.783158118,7.28e-06,"16h","all_down","0",-0.783158118,0.783158118,-0.783158118,"16h_all_down"
"PPIB",6,0.15183962,0.313294894,-0.05637209,0.716271868,0.20596035,0.225902359,0.735880942,5.26e-07,"16h","all_up","HDF",0.735880942,0.735880942,0.735880942,"16h_all_up"
"PPIF",4,-0.084031326,0.196500238,-0.082848516,0.221080567,-0.237003066,0.016119378,-0.615876116,2.26e-06,"16h","all_down","HDF",-0.615876116,0.615876116,-0.615876116,"16h_all_down"
"PPP1R18",4,-0.159222371,0.204207504,-0.229718966,0.036134184,-0.286433504,0.033366821,-0.669169605,1.41e-06,"16h","all_down","0",-0.669169605,0.669169605,-0.669169605,"16h_all_down"
"PPP1R26",4,-0.041142113,0.676309472,-0.047923354,0.591506085,0.039297826,0.643671068,-0.597527332,0.000108736,"16h","all_down","0",-0.597527332,0.597527332,-0.597527332,"16h_all_down"
"PPP4R4",4,0.059689177,0.590980992,0.073412796,0.455177795,-0.058033033,0.504769694,-0.581522121,0.000187767,"16h","all_down","0",-0.581522121,0.581522121,-0.581522121,"16h_all_down"
"PRDM16",2,-0.07881564,0.608760989,0.406175188,0.005173429,0.193080435,0.168080122,0.698097055,1.1e-05,"16h","all_up","0",0.698097055,0.698097055,0.698097055,"16h_all_up"
"PREP",4,-0.008492584,0.924976361,-0.22710548,0.023363378,-0.046774736,0.558499244,-0.64649672,7.5e-05,"16h","all_down","0",-0.64649672,0.64649672,-0.64649672,"16h_all_down"
"PRMT6",4,-0.012627374,0.907099016,0.0471618,0.685413849,-0.121633232,0.262932255,-0.77959038,0.000475659,"16h","all_down","0",-0.77959038,0.77959038,-0.77959038,"16h_all_down"
"PROK2",6,0.004212075,0.965285208,-0.035322207,0.777950136,-0.082089419,0.417154431,0.605185449,0.000356909,"16h","all_up","0",0.605185449,0.605185449,0.605185449,"16h_all_up"
"PRPF4B",2,0.076869238,0.375125304,0.161161386,0.104357836,0.048152408,0.555906151,0.660969552,8.66e-05,"16h","all_up","0",0.660969552,0.660969552,0.660969552,"16h_all_up"
"PRRT2",2,0.020458236,0.901342932,0.742420752,0.000288529,0.236673981,0.091114141,0.178046349,0.146246735,"8h","all_up","0",0.742420752,0.742420752,0.742420752,"8h_all_up"
"PTGFRN",4,-0.04143184,0.656851025,-0.290888162,0.090842077,-0.034509984,0.829070575,-0.655177912,7.19e-08,"16h","all_down","HRF",-0.655177912,0.655177912,-0.655177912,"16h_all_down"
"PTPRC",3,-0.203131127,0.25139197,-0.71192816,0.000412274,-0.068855849,0.656696587,0.046864776,0.741821713,"8h","all_down","0",-0.71192816,0.71192816,-0.71192816,"8h_all_down"
"PVRL2",2,-0.151735992,0.159242781,0.091324494,0.43714396,0.0753678,0.43445835,0.64779886,2.21e-05,"16h","all_up","0",0.64779886,0.64779886,0.64779886,"16h_all_up"
"PVT1",2,-0.113394065,0.219165522,0.220049668,0.028005973,0.228659254,0.018895054,0.588663866,2.78e-06,"16h","all_up","0",0.588663866,0.588663866,0.588663866,"16h_all_up"
"QPCT",2,0.064880733,0.601429884,0.179366318,0.065602143,0.058334468,0.607019647,0.588289438,5.66e-06,"16h","all_up","0",0.588289438,0.588289438,0.588289438,"16h_all_up"
"RAD51D",4,-0.008745078,0.902251922,0.168986727,0.028755219,0.029065501,0.712561649,-0.693025976,1.02e-06,"16h","all_down","0",-0.693025976,0.693025976,-0.693025976,"16h_all_down"
"RASL10A",2,-0.119504101,0.367269754,0.299976012,0.006587002,0.140101247,0.148582614,1.054315445,2.8e-07,"16h","all_up","0",1.054315445,1.054315445,1.054315445,"16h_all_up"
"RASSF1",5,-0.042908228,0.618347475,0.097741128,0.229850721,0.359869822,0.000473128,0.780372554,5.76e-08,"16h","all_up","HDF",0.780372554,0.780372554,0.780372554,"16h_all_up"
"RBM15",6,0.110433081,0.39477931,-0.159629201,0.373646613,0.312498166,0.128340152,0.902309145,1.22e-08,"16h","all_up","0",0.902309145,0.902309145,0.902309145,"16h_all_up"
"RBMX",4,-0.024043282,0.858355716,-0.312624356,0.010612791,-0.016314232,0.869167448,-0.598239442,0.000749028,"16h","all_down","0",-0.598239442,0.598239442,-0.598239442,"16h_all_down"
"RCOR2",2,-0.276696251,0.095379856,0.513360634,0.001314746,0.268138646,0.129032926,0.58181507,0.000845978,"16h","all_up","0",0.58181507,0.58181507,0.58181507,"16h_all_up"
"REEP5",4,0.051595194,0.645120889,0.25640198,0.012281097,-0.26615934,0.027361913,-0.606957822,1.86e-06,"16h","all_down","0",-0.606957822,0.606957822,-0.606957822,"16h_all_down"
"RFPL4A",5,0.011635104,0.742523978,-0.061866437,0.268671832,0.0597952,0.118239322,0.801892647,2.6e-11,"16h","all_up","0",0.801892647,0.801892647,0.801892647,"16h_all_up"
"RFXAP",4,0.121672022,0.246090056,0.081465718,0.394103724,-0.179073044,0.113738129,-0.786021854,5.7e-05,"16h","all_down","0",-0.786021854,0.786021854,-0.786021854,"16h_all_down"
"RGS16",2,0.074444934,0.564898072,0.3363774,0.003453121,0.37283638,0.007224204,0.602793532,3.07e-06,"16h","all_up","0",0.602793532,0.602793532,0.602793532,"16h_all_up"
"RHEBL1",5,-0.110698962,0.399404947,0.351170211,0.014215776,0.065061737,0.677400976,1.374572149,9.12e-09,"16h","all_up","0",1.374572149,1.374572149,1.374572149,"16h_all_up"
"RHOBTB2",4,-0.196300505,0.10950498,0.257876374,0.023058887,-0.134639512,0.322078233,-0.678761663,1.03e-07,"16h","all_down","0",-0.678761663,0.678761663,-0.678761663,"16h_all_down"
"RHOXF1",5,-0.014374223,0.863999461,0.29020118,0.012587717,0.261591766,0.0295494,0.617070837,1.15e-08,"16h","all_up","0",0.617070837,0.617070837,0.617070837,"16h_all_up"
"RIBC2",1,-0.174081641,0.152835829,0.35957289,0.01917903,-0.13579562,0.307663541,-0.685247184,2.54e-06,"16h","all_down","0",-0.685247184,0.685247184,-0.685247184,"16h_all_down"
"RIMBP3",4,-0.201427631,0.196959344,0.271759897,0.031951737,-0.256240891,0.054077236,-1.050434642,1.27e-08,"16h","all_down","0",-1.050434642,1.050434642,-1.050434642,"16h_all_down"
"RMI2",2,-0.006062465,0.952176388,0.153501938,0.100187875,-0.042737782,0.64314026,-0.637515006,5.77e-07,"16h","all_down","0",-0.637515006,0.637515006,-0.637515006,"16h_all_down"
"RNF112",5,-0.002852977,0.962791848,0.124655991,0.011753105,0.149896213,0.010132027,0.598487888,2.27e-07,"16h","all_up","0",0.598487888,0.598487888,0.598487888,"16h_all_up"
"RNF145",2,0.159929456,0.087944838,0.275286247,0.047081178,0.105809651,0.45837355,0.815829184,8.29e-06,"16h","all_up","0",0.815829184,0.815829184,0.815829184,"16h_all_up"
"RNF44",2,-0.01805697,0.813878225,0.07076501,0.394446513,0.149389141,0.109967731,0.602143866,2.14e-06,"16h","all_up","HRF",0.602143866,0.602143866,0.602143866,"16h_all_up"
"RPL13AP17",3,-0.309818868,0.146926928,-0.665376418,0.000186829,-0.344632118,0.009265882,-0.367197488,0.045345965,"8h","all_down","0",-0.665376418,0.665376418,-0.665376418,"8h_all_down"
"RPRM",2,-0.172780416,0.171325484,0.245541532,0.046665344,0.136173676,0.27394653,0.615435962,2.22e-06,"16h","all_up","0",0.615435962,0.615435962,0.615435962,"16h_all_up"
"RPS4Y2",3,-0.140256105,0.283119034,-0.58457611,0.000301753,-0.426429973,0.005310272,-0.230359015,5.78e-05,"8h","all_down","0",-0.58457611,0.58457611,-0.58457611,"8h_all_down"
"RUNX1T1",4,0.029237028,0.789182143,0.24776609,0.022557312,-0.126511914,0.270315891,-0.790481366,1.13e-06,"16h","all_down","0",-0.790481366,0.790481366,-0.790481366,"16h_all_down"
"SAMD10",3,-0.763509632,0.109892149,-0.83746962,0.000180272,-0.026621296,0.876454687,-0.42699791,0.004674005,"8h","all_down","0",-0.83746962,0.83746962,-0.83746962,"8h_all_down"
"SAMD4A",5,-0.095273822,0.197663935,0.105566182,0.143285908,-0.057528409,0.411077396,0.654301734,1.42e-07,"16h","all_up","0",0.654301734,0.654301734,0.654301734,"16h_all_up"
"SBSN",5,-0.037823888,0.575965542,0.31694991,0.004020862,0.213389422,0.017301959,1.076439443,2.34e-10,"16h","all_up","0",1.076439443,1.076439443,1.076439443,"16h_all_up"
"SCAND3",6,0.075320885,0.326473744,-0.063919322,0.497265921,0.209113908,0.083975609,0.583423631,4.51e-07,"16h","all_up","0",0.583423631,0.583423631,0.583423631,"16h_all_up"
"SCG5",5,0.070108766,0.280416841,0.195392526,0.006996959,0.22055566,0.001595078,1.501877661,1.65e-12,"16h","all_up","0",1.501877661,1.501877661,1.501877661,"16h_all_up"
"SDC1",1,-0.115073793,0.232663538,0.06116417,0.55168447,0.002779497,0.975962906,-0.633753722,3.22e-06,"16h","all_down","HDF",-0.633753722,0.633753722,-0.633753722,"16h_all_down"
"SDF2L1",5,-0.041291662,0.695641679,0.438060912,0.002499337,0.584906588,0.00036905,1.102771532,1.54e-10,"12h,16h","all_up","HDF",0.84383906,1.102771532,1.102771532,"12h,16h_all_up"
"SDK2",5,-0.108863939,0.246931455,0.151221066,0.07191808,0.200957351,0.081260207,0.611622601,1.08e-05,"16h","all_up","0",0.611622601,0.611622601,0.611622601,"16h_all_up"
"SEC14L2",1,-0.075964693,0.638245381,0.324564952,0.046092249,-0.216617587,0.189955758,-1.011218082,4.41e-07,"16h","all_down","0",-1.011218082,1.011218082,-1.011218082,"16h_all_down"
"SEL1L",6,0.02559262,0.845177378,-0.07833997,0.541370639,0.187242987,0.164304354,0.987366687,0.000564791,"16h","all_up","HDF",0.987366687,0.987366687,0.987366687,"16h_all_up"
"SELK",5,-0.01322777,0.873909178,0.233720578,0.111907659,0.2279452,0.075017731,0.657285394,3.54e-07,"16h","all_up","0",0.657285394,0.657285394,0.657285394,"16h_all_up"
"SERPINC1",5,0.007476681,0.879495182,0.067543598,0.189392836,0.053659009,0.220155687,0.698035826,1.04e-08,"16h","all_up","HRF",0.698035826,0.698035826,0.698035826,"16h_all_up"
"SH2D3C",5,-0.390473106,0.012623862,-0.067675585,0.590652161,0.00139686,0.98889314,2.926754243,4.87e-13,"16h","all_up","0",2.926754243,2.926754243,2.926754243,"16h_all_up"
"SH3YL1",5,0.074215822,0.465260484,0.321996983,0.008031713,0.182528801,0.082486844,0.816051952,2.76e-06,"16h","all_up","0",0.816051952,0.816051952,0.816051952,"16h_all_up"
"SHC2",2,-0.037396061,0.69439044,-0.046629537,0.450728817,0.118045785,0.254932313,0.746892542,6.44e-07,"16h","all_up","0",0.746892542,0.746892542,0.746892542,"16h_all_up"
"SHISA2",4,0.170420284,0.115635759,0.122629822,0.186439286,-0.308965556,0.002000589,-0.934519255,2.78e-09,"16h","all_down","0",-0.934519255,0.934519255,-0.934519255,"16h_all_down"
"SKIL",5,0.048143131,0.639339264,0.314499354,0.003929217,0.1238707,0.289063315,0.925792274,1.35e-08,"16h","all_up","HDF",0.925792274,0.925792274,0.925792274,"16h_all_up"
"SLC13A3",5,-0.049791494,0.734162647,0.454662186,0.002943606,0.250989885,0.166002272,1.686138403,1.35e-11,"16h","all_up","0",1.686138403,1.686138403,1.686138403,"16h_all_up"
"SLC17A9",5,-0.085339697,0.241864381,0.133931782,0.129605426,0.121966423,0.110121649,0.609758816,4.67e-07,"16h","all_up","0",0.609758816,0.609758816,0.609758816,"16h_all_up"
"SLC24A1",4,0.014127292,0.890725279,0.208259165,0.159315675,-0.076048573,0.603736195,-0.621818709,3.56e-05,"16h","all_down","HDF",-0.621818709,0.621818709,-0.621818709,"16h_all_down"
"SLC25A34",5,-0.114664022,0.215129781,0.30727713,0.00426848,0.191524786,0.094873704,0.843850764,1.12e-07,"16h","all_up","0",0.843850764,0.843850764,0.843850764,"16h_all_up"
"SLC33A1",5,0.079384983,0.485035538,-0.177356191,0.084043428,0.407076044,0.0014336,0.86141132,8.26e-09,"16h","all_up","0",0.86141132,0.86141132,0.86141132,"16h_all_up"
"SLC5A11",5,-0.075141515,0.345991669,-0.051885981,0.421855555,0.11252852,0.200663341,0.793200314,1.69e-08,"16h","all_up","0",0.793200314,0.793200314,0.793200314,"16h_all_up"
"SLC7A11",5,0.208618148,0.013196077,0.057456064,0.535447502,0.134387384,0.218365584,1.680552348,8.26e-11,"16h","all_up","0",1.680552348,1.680552348,1.680552348,"16h_all_up"
"SORCS1",5,-0.074804084,0.519703809,0.142684296,0.164593546,0.049936414,0.546030047,0.635477129,6.92e-05,"16h","all_up","0",0.635477129,0.635477129,0.635477129,"16h_all_up"
"SP3P",3,-0.136426254,0.578205541,-0.904264163,0.000287762,-0.266955033,0.031067467,-0.310671934,0.028571498,"8h","all_down","0",-0.904264163,0.904264163,-0.904264163,"8h_all_down"
"SPANXA1",5,0.019523046,0.723570239,0.134436664,0.014192906,0.01453006,0.645042115,0.764628704,2.05e-09,"16h","all_up","0",0.764628704,0.764628704,0.764628704,"16h_all_up"
"SPANXN3",5,0.028506235,0.27043206,-0.006173392,0.855580548,0.055940968,0.056858939,0.65338326,1.42e-10,"16h","all_up","0",0.65338326,0.65338326,0.65338326,"16h_all_up"
"SPDYA",5,-0.014074888,0.761045011,-0.085189241,0.172303387,0.182338749,0.01562127,1.269135886,2.77e-11,"16h","all_up","HDF",1.269135886,1.269135886,1.269135886,"16h_all_up"
"SPOCK2",3,-0.164018052,0.455962542,-0.784279189,0.000580778,-0.036871378,0.861973074,-0.045493591,0.69567412,"8h","all_down","HDF",-0.784279189,0.784279189,-0.784279189,"8h_all_down"
"SPOPL",4,0.071231767,0.47161151,0.136826768,0.166678058,-0.271141278,0.009621372,-0.65168336,4.76e-06,"16h","all_down","0",-0.65168336,0.65168336,-0.65168336,"16h_all_down"
"SPRR2A",5,0.010377183,0.777350639,0.183273526,0.000186155,0.535934471,9.06e-06,2.10987464,9.53e-12,"16h","all_up","0",2.10987464,2.10987464,2.10987464,"16h_all_up"
"ST8SIA5",5,-0.093603,0.448081532,0.253896459,0.024839318,0.172488925,0.093293332,1.214317404,1.56e-10,"16h","all_up","0",1.214317404,1.214317404,1.214317404,"16h_all_up"
"STAMBPL1",4,0.05954895,0.569857918,0.169226941,0.139610239,-0.126024536,0.34231896,-0.726642517,2.98e-05,"16h","all_down","0",-0.726642517,0.726642517,-0.726642517,"16h_all_down"
"STARD4",6,0.186875913,0.098258622,-0.04379187,0.652861349,0.020689523,0.847770102,0.603253463,6.81e-06,"16h","all_up","0",0.603253463,0.603253463,0.603253463,"16h_all_up"
"STBD1",4,-0.053813449,0.564286502,-0.021289948,0.823675585,-0.066684211,0.455801818,-0.585862326,2.61e-06,"16h","all_down","0",-0.585862326,0.585862326,-0.585862326,"16h_all_down"
"STC2",2,-0.09081556,0.302587578,-0.178818922,0.042242179,0.354501672,0.000686166,0.756145468,2.03e-06,"16h","all_up","0",0.756145468,0.756145468,0.756145468,"16h_all_up"
"STMN2",5,0.000250175,0.995577078,0.102149697,0.048402485,0.102720646,0.096862868,0.709869971,4.95e-09,"16h","all_up","0",0.709869971,0.709869971,0.709869971,"16h_all_up"
"SVIP",4,0.154226939,0.17043444,-0.029669174,0.736950541,-0.279470292,0.007473608,-0.586962681,1.51e-05,"16h","all_down","0",-0.586962681,0.586962681,-0.586962681,"16h_all_down"
"SYN2",4,-0.139114979,0.363469353,0.233759345,0.081664638,-0.377237523,0.0116684,-0.889385977,2.44e-07,"16h","all_down","0",-0.889385977,0.889385977,-0.889385977,"16h_all_down"
"SYTL4",4,0.116003915,0.196711557,-0.038812989,0.589549071,-0.093322127,0.337697902,-0.917034269,6.18e-06,"16h","all_down","0",-0.917034269,0.917034269,-0.917034269,"16h_all_down"
"TAC3",5,0.012369823,0.831582717,0.327785634,0.00093732,0.121926624,0.043174923,1.615448526,3.49e-12,"16h","all_up","0",1.615448526,1.615448526,1.615448526,"16h_all_up"
"TAS1R3",4,-0.059558494,0.506580483,-0.197665358,0.03269144,-0.014687054,0.904459658,-0.672435016,5.79e-06,"16h","all_down","HDF",-0.672435016,0.672435016,-0.672435016,"16h_all_down"
"TBC1D9",5,-0.023242692,0.775493257,0.003608173,0.970420021,0.005810803,0.955008882,0.629328325,7.84e-07,"16h","all_up","0",0.629328325,0.629328325,0.629328325,"16h_all_up"
"TCEAL7",5,0.011876726,0.688897842,-0.01136132,0.740568184,0.066801114,0.111688657,1.113790539,1.04e-12,"16h","all_up","0",1.113790539,1.113790539,1.113790539,"16h_all_up"
"TCF19",4,-0.179896453,0.089883477,-0.144035534,0.143749777,-0.386103697,0.000442802,-1.290489515,4.32e-08,"16h","all_down","0",-1.290489515,1.290489515,-1.290489515,"16h_all_down"
"TCP10",5,-0.004540763,0.924233141,0.093095668,0.192017393,0.08369862,0.212340925,0.641532483,1.41e-08,"16h","all_up","0",0.641532483,0.641532483,0.641532483,"16h_all_up"
"TES",5,0.010144744,0.93597853,-0.204139647,0.07955483,0.039016009,0.623799034,0.768538735,1.29e-06,"16h","all_up","0",0.768538735,0.768538735,0.768538735,"16h_all_up"
"TFDP1",4,0.037486746,0.632135254,-0.471267266,0.009415591,-0.400068538,0.025424912,-0.637620396,5.03e-07,"16h","all_down","0",-0.637620396,0.637620396,-0.637620396,"16h_all_down"
"TMC2",5,-0.004080414,0.888163673,0.001637958,0.976170224,0.165677414,0.004494158,1.392941205,8.28e-10,"16h","all_up","0",1.392941205,1.392941205,1.392941205,"16h_all_up"
"TMEM121",1,-0.181519662,0.094159785,-0.035110054,0.752608113,-0.083192044,0.373431862,-0.648191466,2.31e-05,"16h","all_down","0",-0.648191466,0.648191466,-0.648191466,"16h_all_down"
"TMEM159",4,-0.040664068,0.683165519,-0.09915875,0.384862748,-0.325006165,0.004789624,-0.666883174,7.28e-05,"16h","all_down","0",-0.666883174,0.666883174,-0.666883174,"16h_all_down"
"TMEM236",5,-0.001308922,0.97127983,0.003316564,0.97120612,0.107350607,0.034937217,0.752299322,4.94e-07,"16h","all_up","0",0.752299322,0.752299322,0.752299322,"16h_all_up"
"TMEM50B",5,0.164595744,0.113778101,-0.041935276,0.584269548,0.182284632,0.047979359,0.744748636,6.61e-08,"16h","all_up","0",0.744748636,0.744748636,0.744748636,"16h_all_up"
"TMEM87B",4,0.043780098,0.641220281,0.021875429,0.79899731,0.009378992,0.905668396,-0.602425098,1.09e-05,"16h","all_down","0",-0.602425098,0.602425098,-0.602425098,"16h_all_down"
"TMX1",4,-0.007842014,0.935671462,0.04150412,0.662863797,-0.622675688,0.000202605,-0.803212356,5.14e-08,"12h,16h","all_down","0",-0.712944022,0.803212356,-0.803212356,"12h,16h_all_down"
"TNFRSF12A",5,-0.163810363,0.221189253,-0.171283599,0.139122258,0.233115902,0.146326557,0.679683098,1.89e-06,"16h","all_up","0",0.679683098,0.679683098,0.679683098,"16h_all_up"
"TRAF3IP2-AS1",5,0.100743903,0.404886692,0.250495585,0.004336044,0.079807279,0.425814539,1.029187366,2e-08,"16h","all_up","0",1.029187366,1.029187366,1.029187366,"16h_all_up"
"TRAF4",2,-0.254162804,0.131520277,-0.038313584,0.702721942,0.078667086,0.478209554,0.598955376,2.37e-06,"16h","all_up","0",0.598955376,0.598955376,0.598955376,"16h_all_up"
"TRIM77P",5,-0.104867056,0.044100116,0.300943471,0.000784334,2.044359551,1.79e-08,2.88110927,1.11e-06,"12h,16h","all_up","0",2.462734411,2.88110927,2.88110927,"12h,16h_all_up"
"TTC18",5,-0.001897964,0.98591746,0.377835421,0.005726332,0.074464644,0.537054471,0.991050579,3.16e-08,"16h","all_up","0",0.991050579,0.991050579,0.991050579,"16h_all_up"
"TTC28-AS1",5,-0.141267992,0.152762826,0.265243745,0.008569188,0.184458235,0.097014947,0.667177938,6.16e-08,"16h","all_up","0",0.667177938,0.667177938,0.667177938,"16h_all_up"
"TYMS",4,0.06863354,0.319744804,0.076018744,0.304728189,-0.072736826,0.40015963,-0.599918918,1.21e-06,"16h","all_down","HDF",-0.599918918,0.599918918,-0.599918918,"16h_all_down"
"UBAP1L",5,-0.037172803,0.817387351,0.592546319,0.000358184,0.331738921,0.017165065,0.92827951,8.86e-09,"8h,16h","all_up","0",0.760412915,0.92827951,0.92827951,"8h,16h_all_up"
"UBE2C",5,0.001498188,0.985401441,-0.123017168,0.180412889,0.342731052,0.00885347,0.838551666,6.35e-07,"16h","all_up","HDF",0.838551666,0.838551666,0.838551666,"16h_all_up"
"UBL3",6,0.031169785,0.745604421,-0.200880966,0.201008471,0.011052506,0.948777901,0.723385569,2.76e-07,"16h","all_up","0",0.723385569,0.723385569,0.723385569,"16h_all_up"
"UBQLN2",4,-0.08448881,0.633727791,-0.466224284,0.003061528,-0.163946652,0.344545438,-0.81290994,1.47e-05,"16h","all_down","HDF",-0.81290994,0.81290994,-0.81290994,"16h_all_down"
"UBR7",4,-0.003521,0.965632906,0.084625528,0.510849796,-0.129973776,0.303006543,-0.708168258,4.82e-08,"16h","all_down","0",-0.708168258,0.708168258,-0.708168258,"16h_all_down"
"UCN",2,-0.129019066,0.47314622,0.522075764,0.000771307,0.264348739,0.053246951,0.700939448,9.51e-05,"16h","all_up","0",0.700939448,0.700939448,0.700939448,"16h_all_up"
"UGDH",2,-0.04810183,0.661851499,0.155940916,0.212485358,0.202837686,0.057946351,0.761608354,0.00020172,"16h","all_up","0",0.761608354,0.761608354,0.761608354,"16h_all_up"
"UOX",5,-0.002361188,0.939746415,0.043853153,0.325940901,0.140617967,0.009852646,0.60979398,9.42e-09,"16h","all_up","0",0.60979398,0.60979398,0.60979398,"16h_all_up"
"UTF1",3,-0.523503974,0.075281632,-0.71808263,3.79e-05,-0.025727536,0.860068536,-0.14999919,0.2489586,"8h","all_down","0",-0.71808263,0.71808263,-0.71808263,"8h_all_down"
"VAV1",5,0.01840436,0.815577885,0.189669223,0.009920339,0.285072636,0.001594112,0.642647241,6.78e-07,"16h","all_up","0",0.642647241,0.642647241,0.642647241,"16h_all_up"
