"Genes","cluster","logFC_4","P.Value_4","logFC_8","P.Value_8","logFC_12","P.Value_12","logFC_16","P.Value_16","significant_timepoints","direction_type","Host factor type","logFC_mean_sig","logFC_abs_max_sig","logFC_max_with_sign_sig","pattern"
"F2R",4,0.051458685,0.571366294,-0.22293321,0.048014692,-0.119885788,0.287492068,-0.844885325,1.16e-06,"16h","all_down","HRF",-0.844885325,0.844885325,-0.844885325,"16h_all_down"
"FAM100B",2,-0.113387828,0.319619501,0.212474452,0.11473688,0.07882944,0.399584488,0.674384868,1.4e-06,"16h","all_up","HDF",0.674384868,0.674384868,0.674384868,"16h_all_up"
"FAM127C",4,0.004332946,0.962451435,0.046434772,0.666484794,-0.241458514,0.020350685,-0.701111011,2.25e-05,"16h","all_down","0",-0.701111011,0.701111011,-0.701111011,"16h_all_down"
"FAM160A2",5,-0.122965723,0.306743471,-0.114050464,0.378921925,0.263609812,0.086976292,0.778581973,4.78e-06,"16h","all_up","0",0.778581973,0.778581973,0.778581973,"16h_all_up"
"FAM183B",5,0.032352721,0.632078378,0.308762442,0.00162081,0.205599705,0.0092027,0.769731309,9.55e-10,"16h","all_up","0",0.769731309,0.769731309,0.769731309,"16h_all_up"
"FAM198A",4,-0.147315837,0.131834485,0.178953874,0.078271476,-0.10806121,0.184340344,-0.996509742,6.22e-09,"16h","all_down","0",-0.996509742,0.996509742,-0.996509742,"16h_all_down"
"FAM43B",1,-0.248505272,0.0838011,0.209878145,0.073361635,-0.101511571,0.325797931,-0.626220267,4.46e-05,"16h","all_down","0",-0.626220267,0.626220267,-0.626220267,"16h_all_down"
"FAM46A",2,-0.05454726,0.573786973,0.07462795,0.537007765,0.048904864,0.626254844,0.834549778,9.47e-06,"16h","all_up","0",0.834549778,0.834549778,0.834549778,"16h_all_up"
"FAM71F1",5,0.036908512,0.369206279,0.219562317,0.001484964,0.269006712,0.00041542,2.609115757,5.04e-16,"16h","all_up","0",2.609115757,2.609115757,2.609115757,"16h_all_up"
"FAM7A1",2,0.059109027,0.504733734,0.088268807,0.346576521,-0.038556985,0.697261593,-0.626067462,9.08e-07,"16h","all_down","0",-0.626067462,0.626067462,-0.626067462,"16h_all_down"
"FAM90A1",5,-0.040714592,0.406456525,-0.034472239,0.477541581,0.072625837,0.269381701,0.655391758,1.27e-08,"16h","all_up","0",0.655391758,0.655391758,0.655391758,"16h_all_up"
"FAM90A7",5,-0.01601514,0.725276834,0.023773841,0.597790434,0.127330109,0.039578777,0.722111181,6.7e-10,"16h","all_up","0",0.722111181,0.722111181,0.722111181,"16h_all_up"
"FANCA",1,-0.12793721,0.307899988,0.237460512,0.0226377,-0.04727275,0.586685362,-0.700472944,6.75e-08,"16h","all_down","0",-0.700472944,0.700472944,-0.700472944,"16h_all_down"
"FBXL19-AS1",5,0.04282899,0.76084532,0.460904996,0.006245618,0.079238443,0.510878934,0.899452625,6.97e-06,"16h","all_up","0",0.899452625,0.899452625,0.899452625,"16h_all_up"
"FBXW10",5,0.103141893,0.238639782,0.261883624,0.001002826,0.217530185,0.00080154,1.086512602,1.22e-10,"16h","all_up","HDF",1.086512602,1.086512602,1.086512602,"16h_all_up"
"FEM1B",5,0.006420161,0.944704179,0.122064998,0.235550689,0.008255057,0.92786496,0.669849583,7.53e-05,"16h","all_up","0",0.669849583,0.669849583,0.669849583,"16h_all_up"
"FHDC1",5,0.075110873,0.346353458,-0.05817041,0.208482286,0.08082435,0.267109451,0.630709908,6.08e-09,"16h","all_up","0",0.630709908,0.630709908,0.630709908,"16h_all_up"
"FKBP2",2,-0.043970274,0.696100533,0.462070594,0.001009817,0.218744274,0.055953597,0.660038504,1.79e-05,"16h","all_up","0",0.660038504,0.660038504,0.660038504,"16h_all_up"
"FLJ23867",3,-0.167992456,0.301401065,-0.587634586,0.000132108,-0.084721092,0.584192288,-0.202799968,0.031721471,"8h","all_down","0",-0.587634586,0.587634586,-0.587634586,"8h_all_down"
"FLJ39051",4,0.067261064,0.673607788,0.517921055,0.001614244,-0.222973734,0.145320987,-0.803773594,1.32e-06,"16h","all_down","0",-0.803773594,0.803773594,-0.803773594,"16h_all_down"
"FLJ43315",6,0.207861067,0.096789961,-0.055594469,0.489165311,0.080623182,0.457522234,0.675299138,6.62e-07,"16h","all_up","0",0.675299138,0.675299138,0.675299138,"16h_all_up"
"FLJ44342",5,-0.049538432,0.72479236,0.518814634,0.000389424,0.260082984,0.029638916,1.098596426,2.95e-08,"16h","all_up","0",1.098596426,1.098596426,1.098596426,"16h_all_up"
"FLJ45872",5,0.022957984,0.507304973,0.046009539,0.426200224,1.162163047,1.02e-06,1.866427324,2.96e-06,"12h,16h","all_up","0",1.514295186,1.866427324,1.866427324,"12h,16h_all_up"
"FN3KRP",4,-0.010143884,0.923476572,-0.14480273,0.172920094,-0.034484798,0.69529365,-0.804099694,2.26e-07,"16h","all_down","0",-0.804099694,0.804099694,-0.804099694,"16h_all_down"
"FOS",5,-0.090192704,0.259748741,-0.286602059,0.005048152,0.398408077,0.016531236,0.824508758,8.27e-07,"16h","all_up","HRF",0.824508758,0.824508758,0.824508758,"16h_all_up"
"FRMD3",5,0.023842684,0.830979795,0.184704923,0.064951785,0.151217673,0.10273022,1.234116696,1.19e-08,"16h","all_up","0",1.234116696,1.234116696,1.234116696,"16h_all_up"
"FRZB",2,0.00290074,0.942285909,0.029567112,0.630793887,0.059581785,0.336408479,0.601585776,1.26e-07,"16h","all_up","0",0.601585776,0.601585776,0.601585776,"16h_all_up"
"FUT1",5,-0.045423034,0.416023074,0.030125742,0.626789212,0.035005701,0.486993631,0.755487525,5.63e-07,"16h","all_up","HRF",0.755487525,0.755487525,0.755487525,"16h_all_up"
"GAS1",4,0.084590952,0.480505408,-0.32839207,0.027642051,-0.093175748,0.423087186,-0.63465578,0.000224762,"16h","all_down","0",-0.63465578,0.63465578,-0.63465578,"16h_all_down"
"GAS2L3",2,-0.023249265,0.878888731,0.136900998,0.259671954,0.037775548,0.718475901,0.748769225,0.00036444,"16h","all_up","0",0.748769225,0.748769225,0.748769225,"16h_all_up"
"GCNT1",4,-0.054013739,0.543321993,0.259218851,0.057268664,-0.166252033,0.314718539,-0.601716414,1.67e-07,"16h","all_down","0",-0.601716414,0.601716414,-0.601716414,"16h_all_down"
"GINS2",4,-0.045324714,0.520394897,-0.11261845,0.135586867,-0.128895748,0.079181074,-0.693414062,9.06e-07,"16h","all_down","HDF",-0.693414062,0.693414062,-0.693414062,"16h_all_down"
"GJB2",1,-0.080029591,0.386837668,0.08393443,0.314930383,-0.128426446,0.186013257,-0.613980196,3.38e-07,"16h","all_down","0",-0.613980196,0.613980196,-0.613980196,"16h_all_down"
"GNRH1",5,0.099513443,0.227767166,0.260156112,0.008421919,0.241318679,0.020577133,0.632099631,1.89e-06,"16h","all_up","0",0.632099631,0.632099631,0.632099631,"16h_all_up"
"GPR137B",4,0.112652835,0.184515304,-0.040133725,0.600505253,-0.267352981,0.005357964,-0.675091872,9.28e-08,"16h","all_down","0",-0.675091872,0.675091872,-0.675091872,"16h_all_down"
"GPRASP2",4,0.001434628,0.990806346,-0.00811569,0.950062164,-0.171290594,0.132772231,-0.815216498,2.91e-06,"16h","all_down","HDF",-0.815216498,0.815216498,-0.815216498,"16h_all_down"
"GRASP",2,-0.081448883,0.642595158,0.636180555,0.000437233,0.285713779,0.086787939,0.841731946,4.27e-06,"8h,16h","all_up","0",0.738956251,0.841731946,0.841731946,"8h,16h_all_up"
"GUCA1B",5,-0.026986026,0.640734772,0.043682432,0.532447797,0.233274702,0.015083685,0.818260721,1.59e-09,"16h","all_up","0",0.818260721,0.818260721,0.818260721,"16h_all_up"
"H19",5,-0.030994656,0.404127911,0.082521156,0.005140946,0.382040019,5.6e-05,0.686265279,1.76e-09,"16h","all_up","0",0.686265279,0.686265279,0.686265279,"16h_all_up"
"HARS2",4,0.13305306,0.210511434,0.136178025,0.212769474,-0.031282027,0.744150401,-0.812828875,9.75e-05,"16h","all_down","0",-0.812828875,0.812828875,-0.812828875,"16h_all_down"
"HCLS1",5,-0.098700021,0.138061399,-0.0330672,0.592733003,0.062548025,0.337386352,0.906415129,1.77e-09,"16h","all_up","0",0.906415129,0.906415129,0.906415129,"16h_all_up"
"HCN3",1,-0.151660273,0.13704233,0.030508231,0.719965789,0.144018607,0.13147582,-0.684208277,2.16e-07,"16h","all_down","0",-0.684208277,0.684208277,-0.684208277,"16h_all_down"
"HDAC6",2,-0.031317809,0.826480867,-0.126554857,0.216980389,0.579567555,0.000375157,0.647026025,6.91e-06,"16h","all_up","HDF",0.647026025,0.647026025,0.647026025,"16h_all_up"
"HERPUD1",5,0.101258242,0.215130718,0.186338222,0.074208828,1.444231944,1.58e-10,2.546944326,2.18e-12,"12h,16h","all_up","0",1.995588135,2.546944326,2.546944326,"12h,16h_all_up"
"HES7",2,-0.115270216,0.136770668,0.235984631,0.058996769,0.55648707,0.000135642,1.775720841,3.11e-11,"16h","all_up","0",1.775720841,1.775720841,1.775720841,"16h_all_up"
"HGD",5,-0.01098118,0.752753138,0.040120099,0.348062897,0.05867918,0.302012908,0.705023334,2.21e-09,"16h","all_up","0",0.705023334,0.705023334,0.705023334,"16h_all_up"
"HHIP",5,0.045471401,0.399884835,0.120516505,0.197345758,0.108362307,0.171151158,0.60699018,1.61e-08,"16h","all_up","0",0.60699018,0.60699018,0.60699018,"16h_all_up"
