Cluster,Cluster_label,Gene
4,Cluster_4,PELI3
2,Cluster_2,PFDN5
4,Cluster_4,PGBD5
2,Cluster_2,PGF
4,Cluster_4,PHF15
2,Cluster_2,PHF19
2,Cluster_2,PHF20
2,Cluster_2,PHLDA2
3,Cluster_3,PHLDB2
4,Cluster_4,PHLPP2
3,Cluster_3,PHOSPHO1
4,Cluster_4,PHTF2
5,Cluster_5,PI15
2,Cluster_2,PIDD
5,Cluster_5,PIF1
6,Cluster_6,PIGC
1,Cluster_1,PIK3C2B
6,Cluster_6,PIK3CA
4,Cluster_4,PIK3R1
6,Cluster_6,PILRA
2,Cluster_2,PILRB
6,Cluster_6,PIM3
5,Cluster_5,PIP5KL1
4,Cluster_4,PITX1
5,Cluster_5,PLA2G4C
2,Cluster_2,PLAC1
5,Cluster_5,PLAC8L1
4,Cluster_4,PLAC9
1,Cluster_1,PLAT
4,Cluster_4,PLEKHA3
5,Cluster_5,PLEKHA6
1,Cluster_1,PLEKHG2
2,Cluster_2,PLIN2
5,Cluster_5,PLIN4
2,Cluster_2,PLK3
5,Cluster_5,PLSCR2
5,Cluster_5,PMAIP1
2,Cluster_2,PMEPA1
4,Cluster_4,PMP22
5,Cluster_5,PNISR
3,Cluster_3,PNLIPRP1
4,Cluster_4,PNMA2
3,Cluster_3,PNMAL2
2,Cluster_2,PNPLA7
6,Cluster_6,PNPT1
6,Cluster_6,PNRC1
4,Cluster_4,POLD3
4,Cluster_4,POLR3B
5,Cluster_5,POPDC2
6,Cluster_6,POT1
3,Cluster_3,PP12613
5,Cluster_5,PP14571
2,Cluster_2,PPA2
5,Cluster_5,PPAN-P2RY11
4,Cluster_4,PPAP2B
1,Cluster_1,PPFIA4
6,Cluster_6,PPIB
2,Cluster_2,PPIE
4,Cluster_4,PPIF
2,Cluster_2,PPP1R12B
4,Cluster_4,PPP1R18
4,Cluster_4,PPP1R26
5,Cluster_5,PPP2R3C
6,Cluster_6,PPP3R1
4,Cluster_4,PPP4R4
3,Cluster_3,PPY
2,Cluster_2,PRCP
2,Cluster_2,PRDM16
2,Cluster_2,PRDM8
6,Cluster_6,PRDX2
4,Cluster_4,PREP
2,Cluster_2,PRIM1
3,Cluster_3,PRKAG3
4,Cluster_4,PRMT6
6,Cluster_6,PROK2
2,Cluster_2,PROS1
2,Cluster_2,PRPF4B
3,Cluster_3,PRR12
2,Cluster_2,PRR5-ARHGAP8
2,Cluster_2,PRR7
3,Cluster_3,PRRG3
2,Cluster_2,PRRT2
2,Cluster_2,PRRT4
2,Cluster_2,PRTFDC1
2,Cluster_2,PSMB9
6,Cluster_6,PSMD13
2,Cluster_2,PSME1
2,Cluster_2,PTCD3
6,Cluster_6,PTGER4
4,Cluster_4,PTGFRN
1,Cluster_1,PTGR2
2,Cluster_2,PTPLA
4,Cluster_4,PTPN1
4,Cluster_4,PTPN13
4,Cluster_4,PTPN2
3,Cluster_3,PTPN20B
3,Cluster_3,PTPRC
2,Cluster_2,PTTG1
2,Cluster_2,PTTG2
2,Cluster_2,PTTG3P
5,Cluster_5,PUS7L
2,Cluster_2,PVRL2
2,Cluster_2,PVRL4
2,Cluster_2,PVT1
2,Cluster_2,PWP1
1,Cluster_1,PXDN
3,Cluster_3,QKI
2,Cluster_2,QPCT
2,Cluster_2,R3HDM2
4,Cluster_4,RAB18
4,Cluster_4,RAB21
4,Cluster_4,RAB23
4,Cluster_4,RAB36
1,Cluster_1,RAB6B
2,Cluster_2,RAB7A
2,Cluster_2,RAB9A
2,Cluster_2,RAB9BP1
6,Cluster_6,RACGAP1P
4,Cluster_4,RAD23B
3,Cluster_3,RAD51AP2
4,Cluster_4,RAD51D
2,Cluster_2,RAD52
6,Cluster_6,RALA
2,Cluster_2,RALB
2,Cluster_2,RAMP1
2,Cluster_2,RANBP17
3,Cluster_3,RARA
4,Cluster_4,RASA2
2,Cluster_2,RASGRP2
2,Cluster_2,RASL10A
5,Cluster_5,RASSF1
2,Cluster_2,RASSF9
4,Cluster_4,RAVER2
4,Cluster_4,RBFA
2,Cluster_2,RBM14-RBM4
6,Cluster_6,RBM15
6,Cluster_6,RBM27
4,Cluster_4,RBM4B
6,Cluster_6,RBM7
4,Cluster_4,RBMX
4,Cluster_4,RBMXL1
6,Cluster_6,RC3H1
6,Cluster_6,RCN2
2,Cluster_2,RCOR2
1,Cluster_1,RDM1
2,Cluster_2,REC8
4,Cluster_4,REEP1
4,Cluster_4,REEP5
2,Cluster_2,REEP6
6,Cluster_6,REM2
3,Cluster_3,RET
2,Cluster_2,REXO2
4,Cluster_4,RFC3
4,Cluster_4,RFC4
2,Cluster_2,RFC5
2,Cluster_2,RFESD
2,Cluster_2,RFPL1
5,Cluster_5,RFPL2
2,Cluster_2,RFPL3
5,Cluster_5,RFPL4A
4,Cluster_4,RFXAP
2,Cluster_2,RGL2
2,Cluster_2,RGS16
5,Cluster_5,RHEBL1
4,Cluster_4,RHOBTB2
5,Cluster_5,RHOXF1
1,Cluster_1,RIBC2
2,Cluster_2,RILPL1
4,Cluster_4,RIMBP3
4,Cluster_4,RIMKLA
5,Cluster_5,RIN1
2,Cluster_2,RIPK4
2,Cluster_2,RMI2
5,Cluster_5,RNF112
2,Cluster_2,RNF125
2,Cluster_2,RNF145
2,Cluster_2,RNF149
4,Cluster_4,RNF182
1,Cluster_1,RNF207
2,Cluster_2,RNF44
3,Cluster_3,RNU105B
2,Cluster_2,ROM1
3,Cluster_3,RPL13AP17
2,Cluster_2,RPL19P12
2,Cluster_2,RPL7L1
2,Cluster_2,RPN2
2,Cluster_2,RPRM
6,Cluster_6,RPS16
3,Cluster_3,RPS4Y2
6,Cluster_6,RPS6KA6
2,Cluster_2,RPS9
3,Cluster_3,RRH
6,Cluster_6,RSBN1
2,Cluster_2,RSRC1
3,Cluster_3,RTN4RL2
2,Cluster_2,RUFY2
2,Cluster_2,RUNX1
4,Cluster_4,RUNX1T1
1,Cluster_1,RUNX3
6,Cluster_6,RYBP
2,Cluster_2,S100A13
2,Cluster_2,S100P
3,Cluster_3,S1PR2
3,Cluster_3,SALL3
3,Cluster_3,SAMD10
5,Cluster_5,SAMD4A
5,Cluster_5,SAMD8
6,Cluster_6,SAMHD1
2,Cluster_2,SBDS
1,Cluster_1,SBK1
2,Cluster_2,SBNO1
5,Cluster_5,SBSN
4,Cluster_4,SC5DL
4,Cluster_4,SCAMP5
6,Cluster_6,SCAND3
4,Cluster_4,SCARNA1
4,Cluster_4,SCARNA23
3,Cluster_3,SCG3
5,Cluster_5,SCG5
3,Cluster_3,SCUBE1
1,Cluster_1,SDC1
6,Cluster_6,SDCBP
5,Cluster_5,SDF2L1
5,Cluster_5,SDK2
4,Cluster_4,SEC14L1
1,Cluster_1,SEC14L2
2,Cluster_2,SEC31B
2,Cluster_2,SECTM1
6,Cluster_6,SEL1L
1,Cluster_1,SELENBP1
5,Cluster_5,SELK
2,Cluster_2,SEMA3B
3,Cluster_3,SERPINB13
5,Cluster_5,SERPINC1
4,Cluster_4,SFR1
4,Cluster_4,SGK1
2,Cluster_2,SGK3
6,Cluster_6,SGMS2
