Cluster,Cluster_label,Gene
5,Cluster_5,ASPM
5,Cluster_5,ASPRV1
2,Cluster_2,ASS1
4,Cluster_4,ASTE1
5,Cluster_5,ASXL1
4,Cluster_4,ATAD5
5,Cluster_5,ATF3
2,Cluster_2,ATP6AP1L
4,Cluster_4,ATP8B5P
2,Cluster_2,ATXN1
3,Cluster_3,ATXN8
6,Cluster_6,AURKA
1,Cluster_1,B4GALNT1
5,Cluster_5,BACH2
2,Cluster_2,BAIAP2L2
6,Cluster_6,BAMBI
5,Cluster_5,BANP
4,Cluster_4,BARD1
2,Cluster_2,BATF3
5,Cluster_5,BAZ2B
2,Cluster_2,BBS9
4,Cluster_4,BCAR3
2,Cluster_2,BCHE
2,Cluster_2,BCL11A
3,Cluster_3,BCL2L1
5,Cluster_5,BCL6
5,Cluster_5,BCL6B
4,Cluster_4,BCLAF1
5,Cluster_5,BDKRB2
5,Cluster_5,BEST1
4,Cluster_4,BHLHB9
2,Cluster_2,BHLHE41
5,Cluster_5,BIK
4,Cluster_4,BLCAP
4,Cluster_4,BMP2K
5,Cluster_5,BMPER
4,Cluster_4,BRCA1
2,Cluster_2,BREA2
6,Cluster_6,BROX
2,Cluster_2,BSDC1
3,Cluster_3,BSN
2,Cluster_2,BSPRY
1,Cluster_1,BTN3A2
5,Cluster_5,C10orf120
4,Cluster_4,C10orf35
2,Cluster_2,C11orf35
3,Cluster_3,C11orf42
2,Cluster_2,C11orf54
5,Cluster_5,C12orf28
4,Cluster_4,C12orf47
2,Cluster_2,C12orf57
1,Cluster_1,C14orf132
4,Cluster_4,C14orf133
3,Cluster_3,C14orf70
2,Cluster_2,C15orf61
2,Cluster_2,C16orf11
4,Cluster_4,C16orf3
2,Cluster_2,C16orf5
5,Cluster_5,C16orf52
1,Cluster_1,C16orf59
2,Cluster_2,C17orf100
4,Cluster_4,C17orf104
2,Cluster_2,C17orf107
2,Cluster_2,C17orf28
5,Cluster_5,C17orf52
1,Cluster_1,C17orf72
4,Cluster_4,C17orf97
4,Cluster_4,C19orf12
3,Cluster_3,C19orf29-AS1
2,Cluster_2,C19orf33
1,Cluster_1,C19orf57
6,Cluster_6,C19orf73
2,Cluster_2,C19orf79
3,Cluster_3,C1orf183
4,Cluster_4,C1orf190
3,Cluster_3,C1orf194
4,Cluster_4,C1orf216
4,Cluster_4,C1orf220
6,Cluster_6,C1orf63
2,Cluster_2,C1QTNF6
5,Cluster_5,C1S
5,Cluster_5,C20orf132
6,Cluster_6,C21orf91
1,Cluster_1,C22orf40
2,Cluster_2,C22orf43
5,Cluster_5,C2CD4C
6,Cluster_6,C2orf27A
5,Cluster_5,C2orf3
5,Cluster_5,C2orf48
2,Cluster_2,C2orf56
2,Cluster_2,C2orf82
3,Cluster_3,C3orf25
5,Cluster_5,C3orf32
4,Cluster_4,C3orf64
1,Cluster_1,C3orf75
4,Cluster_4,C4orf46
5,Cluster_5,C4orf47
5,Cluster_5,C5AR1
2,Cluster_2,C5orf27
6,Cluster_6,C5orf28
4,Cluster_4,C5orf30
5,Cluster_5,C5orf41
3,Cluster_3,C6orf106
4,Cluster_4,C6orf136
4,Cluster_4,C6orf162
2,Cluster_2,C6orf26
2,Cluster_2,C7orf10
4,Cluster_4,C7orf25
2,Cluster_2,C7orf46
5,Cluster_5,C7orf53
6,Cluster_6,C7orf64
2,Cluster_2,C8G
5,Cluster_5,C8orf4
3,Cluster_3,C8orf56
3,Cluster_3,C8orf67
6,Cluster_6,C9orf102
5,Cluster_5,C9orf150
6,Cluster_6,C9orf156
3,Cluster_3,C9orf25
4,Cluster_4,C9orf82
3,Cluster_3,C9orf89
4,Cluster_4,CA2
3,Cluster_3,CABP5
2,Cluster_2,CACNA2D3
5,Cluster_5,CACNB4
2,Cluster_2,CALCA
6,Cluster_6,CALR
4,Cluster_4,CAMSAP2
5,Cluster_5,CAMTA1
6,Cluster_6,CANX
3,Cluster_3,CARD14
2,Cluster_2,CARD9
4,Cluster_4,CARHSP1
3,Cluster_3,CASKIN2
4,Cluster_4,CASP2
5,Cluster_5,CASP3
2,Cluster_2,CASP6
2,Cluster_2,CASZ1
2,Cluster_2,CATSPER2
3,Cluster_3,CATSPERG
2,Cluster_2,CAV1
5,Cluster_5,CBLN2
1,Cluster_1,CBX2
3,Cluster_3,CBX8
6,Cluster_6,CCBL2
3,Cluster_3,CCDC102A
4,Cluster_4,CCDC115
5,Cluster_5,CCDC13
3,Cluster_3,CCDC141
4,Cluster_4,CCDC15
2,Cluster_2,CCDC28B
2,Cluster_2,CCDC50
3,Cluster_3,CCDC61
2,Cluster_2,CCDC64B
2,Cluster_2,CCDC66
1,Cluster_1,CCDC74B
2,Cluster_2,CCDC80
4,Cluster_4,CCDC96
3,Cluster_3,CCL16
2,Cluster_2,CCL27
1,Cluster_1,CCM2
6,Cluster_6,CCNB1
6,Cluster_6,CCNB2
4,Cluster_4,CCND1
4,Cluster_4,CCNE1
4,Cluster_4,CCNE2
2,Cluster_2,CCNL1
5,Cluster_5,CCR5
2,Cluster_2,CD109
3,Cluster_3,CD2
2,Cluster_2,CD24
3,Cluster_3,CD300E
4,Cluster_4,CD3EAP
2,Cluster_2,CD63
2,Cluster_2,CD70
4,Cluster_4,CD83
2,Cluster_2,CD97
4,Cluster_4,CDAN1
1,Cluster_1,CDCA7L
5,Cluster_5,CDH15
3,Cluster_3,CDH5
2,Cluster_2,CDK10
4,Cluster_4,CDK14
5,Cluster_5,CDK2AP2
6,Cluster_6,CDKN1A
6,Cluster_6,CDKN1B
4,Cluster_4,CDKN2C
5,Cluster_5,CDKN2D
1,Cluster_1,CDT1
2,Cluster_2,CDX2
5,Cluster_5,CEACAM22P
5,Cluster_5,CEBPB
3,Cluster_3,CELF6
6,Cluster_6,CENPA
3,Cluster_3,CENPB
4,Cluster_4,CENPK
6,Cluster_6,CENPT
2,Cluster_2,CFD
5,Cluster_5,CHAC1
1,Cluster_1,CHAF1B
4,Cluster_4,CHAMP1
4,Cluster_4,CHD8
3,Cluster_3,CHIT1
1,Cluster_1,CHML
2,Cluster_2,CHMP2A
4,Cluster_4,CHMP2B
5,Cluster_5,CHRNA10
4,Cluster_4,CHST2
2,Cluster_2,CISD2
2,Cluster_2,CKAP4
2,Cluster_2,CLCC1
6,Cluster_6,CLCN3
5,Cluster_5,CLEC18B
5,Cluster_5,CLEC3B
5,Cluster_5,CLIC2
6,Cluster_6,CLIC4
2,Cluster_2,CLMP
3,Cluster_3,CLTB
2,Cluster_2,CLYBL
1,Cluster_1,CNP
1,Cluster_1,CNPY1
5,Cluster_5,CNTF
3,Cluster_3,CNTNAP3B
5,Cluster_5,COL23A1
2,Cluster_2,COL27A1
5,Cluster_5,COL4A6
2,Cluster_2,COMTD1
6,Cluster_6,COPS2
2,Cluster_2,COPS8
6,Cluster_6,COQ7
2,Cluster_2,COX19
2,Cluster_2,CPNE1
2,Cluster_2,CPNE7
4,Cluster_4,CPOX
2,Cluster_2,CPS1
6,Cluster_6,CPSF6
2,Cluster_2,CRABP2
4,Cluster_4,CREB1
3,Cluster_3,CREB3L1
6,Cluster_6,CREB3L2
5,Cluster_5,CREB5
4,Cluster_4,CREBL2
2,Cluster_2,CRELD1
2,Cluster_2,CRELD2
2,Cluster_2,CREM
5,Cluster_5,CSAG1
3,Cluster_3,CSF1
2,Cluster_2,CSRP2
5,Cluster_5,CSTF3
5,Cluster_5,CT45A1
2,Cluster_2,CTF1
5,Cluster_5,CTH
5,Cluster_5,CTSK
6,Cluster_6,CUL4B
6,Cluster_6,CUTA
5,Cluster_5,CX3CR1
5,Cluster_5,CXorf51A
6,Cluster_6,CXorf56
2,Cluster_2,CXXC5
4,Cluster_4,CYLD
3,Cluster_3,CYP17A1
1,Cluster_1,CYP26A1
5,Cluster_5,CYP27A1
3,Cluster_3,CYSLTR1
3,Cluster_3,DAB1
1,Cluster_1,DAND5
4,Cluster_4,DCBLD2
4,Cluster_4,DCLRE1B
3,Cluster_3,DCT
4,Cluster_4,DCTD
5,Cluster_5,DCUN1D3
5,Cluster_5,DDIT3
2,Cluster_2,DDIT4
4,Cluster_4,DDX23
6,Cluster_6,DDX59
5,Cluster_5,DEFA7P
5,Cluster_5,DEFB108B
3,Cluster_3,DEGS2
6,Cluster_6,DEPDC1
2,Cluster_2,DERA
5,Cluster_5,DERL2
2,Cluster_2,DHDH
1,Cluster_1,DHODH
5,Cluster_5,DHRS12
5,Cluster_5,DHRS2
6,Cluster_6,DIAPH2
3,Cluster_3,DIRAS3
2,Cluster_2,DIRC1
5,Cluster_5,DIS3L2
4,Cluster_4,DKFZP434I0714
5,Cluster_5,DKFZp451A211
2,Cluster_2,DKFZp686K1684
5,Cluster_5,DLEC1
2,Cluster_2,DLL1
2,Cluster_2,DLX1
2,Cluster_2,DLX4
2,Cluster_2,DMAP1
5,Cluster_5,DMRTC1
4,Cluster_4,DNAH11
5,Cluster_5,DNAJB11
5,Cluster_5,DNAJB4
5,Cluster_5,DNAJB9
2,Cluster_2,DNAJC1
4,Cluster_4,DNAJC17
5,Cluster_5,DNAJC3
5,Cluster_5,DNALI1
2,Cluster_2,DOK3
2,Cluster_2,DOK7
4,Cluster_4,DOLK
3,Cluster_3,DOPEY1
2,Cluster_2,DPP4
3,Cluster_3,DPT
6,Cluster_6,DRAM2
4,Cluster_4,DSCC1
3,Cluster_3,DSCR10
3,Cluster_3,DSCR9
4,Cluster_4,DTL
5,Cluster_5,DUSP1
6,Cluster_6,DUSP11
5,Cluster_5,DUSP16
2,Cluster_2,DUSP26
6,Cluster_6,DUSP6
5,Cluster_5,DUXA
6,Cluster_6,DYRK1A
3,Cluster_3,DYTN
2,Cluster_2,DZIP3
4,Cluster_4,E2F1
1,Cluster_1,E2F2
4,Cluster_4,E2F7
2,Cluster_2,EBF1
6,Cluster_6,EBF3
2,Cluster_2,ECE2
2,Cluster_2,ECH1
6,Cluster_6,EDA2R
2,Cluster_2,EEF1A2
4,Cluster_4,EEFSEC
4,Cluster_4,EEPD1
2,Cluster_2,EFCAB3
3,Cluster_3,EFHD2
3,Cluster_3,EFNB1
2,Cluster_2,EGFL8
2,Cluster_2,EGR2
4,Cluster_4,EID2
4,Cluster_4,EIF1AD
4,Cluster_4,EIF4A3
3,Cluster_3,EIF5AL1
3,Cluster_3,ELF2
2,Cluster_2,ELF4
2,Cluster_2,ELL3
4,Cluster_4,ELOVL4
2,Cluster_2,ELOVL6
4,Cluster_4,ELOVL7
6,Cluster_6,ELP2
2,Cluster_2,ELP4
3,Cluster_3,EME1
3,Cluster_3,EMILIN3
4,Cluster_4,ENDOD1
2,Cluster_2,ENO3
2,Cluster_2,ENOX2
3,Cluster_3,ENTPD1
4,Cluster_4,EPB41L4B
2,Cluster_2,EPB49
2,Cluster_2,EPHA3
6,Cluster_6,EPRS
2,Cluster_2,ERAP1
2,Cluster_2,ERBB4
6,Cluster_6,ERO1LB
6,Cluster_6,ERP44
4,Cluster_4,ESCO2
1,Cluster_1,ESPNL
2,Cluster_2,ESX1
3,Cluster_3,ETV1
3,Cluster_3,ETV3
3,Cluster_3,EVPL
4,Cluster_4,EXO1
6,Cluster_6,EXOSC6
2,Cluster_2,EXPH5
3,Cluster_3,EXTL1
6,Cluster_6,EYA1
2,Cluster_2,F12
4,Cluster_4,F2R
2,Cluster_2,FAM100B
4,Cluster_4,FAM103A1
2,Cluster_2,FAM105A
3,Cluster_3,FAM109B
4,Cluster_4,FAM116A
3,Cluster_3,FAM116B
4,Cluster_4,FAM127C
3,Cluster_3,FAM155B
4,Cluster_4,FAM156A
2,Cluster_2,FAM158A
5,Cluster_5,FAM160A2
3,Cluster_3,FAM181A
5,Cluster_5,FAM183B
2,Cluster_2,FAM184A
6,Cluster_6,FAM188A
6,Cluster_6,FAM18B2
4,Cluster_4,FAM198A
1,Cluster_1,FAM43B
2,Cluster_2,FAM46A
2,Cluster_2,FAM71E1
5,Cluster_5,FAM71F1
5,Cluster_5,FAM71F2
6,Cluster_6,FAM72A
2,Cluster_2,FAM7A1
3,Cluster_3,FAM84A
5,Cluster_5,FAM90A1
5,Cluster_5,FAM90A7
3,Cluster_3,FAM98C
1,Cluster_1,FANCA
1,Cluster_1,FANCG
2,Cluster_2,FANCL
6,Cluster_6,FASTKD1
3,Cluster_3,FBLN7
5,Cluster_5,FBXL19-AS1
3,Cluster_3,FBXO17
2,Cluster_2,FBXO2
2,Cluster_2,FBXO22
1,Cluster_1,FBXO24
1,Cluster_1,FBXO41
6,Cluster_6,FBXO8
5,Cluster_5,FBXW10
5,Cluster_5,FCGBP
1,Cluster_1,FCHO1
3,Cluster_3,FCN3
5,Cluster_5,FEM1B
2,Cluster_2,FEZ1
6,Cluster_6,FGFR1OP
2,Cluster_2,FGGY
5,Cluster_5,FHDC1
3,Cluster_3,FIBCD1
3,Cluster_3,FIGNL2
2,Cluster_2,FKBP11
6,Cluster_6,FKBP14
2,Cluster_2,FKBP2
3,Cluster_3,FLJ23867
4,Cluster_4,FLJ39051
3,Cluster_3,FLJ40434
3,Cluster_3,FLJ42022
6,Cluster_6,FLJ43315
5,Cluster_5,FLJ44342
5,Cluster_5,FLJ45872
4,Cluster_4,FN3KRP
6,Cluster_6,FNDC3B
3,Cluster_3,FNDC9
5,Cluster_5,FOS
4,Cluster_4,FOXA1
4,Cluster_4,FOXN2
2,Cluster_2,FOXN4
3,Cluster_3,FOXP1
2,Cluster_2,FOXP2
2,Cluster_2,FRAS1
5,Cluster_5,FRG2
3,Cluster_3,FRMD1
5,Cluster_5,FRMD3
2,Cluster_2,FRZB
6,Cluster_6,FSD1L
4,Cluster_4,FUBP1
6,Cluster_6,FUNDC2
5,Cluster_5,FUT1
4,Cluster_4,FUT8
4,Cluster_4,FZD1
4,Cluster_4,FZD5
2,Cluster_2,G0S2
6,Cluster_6,G2E3
3,Cluster_3,GABRB1
3,Cluster_3,GABRG2
2,Cluster_2,GALNT6
2,Cluster_2,GARNL3
4,Cluster_4,GAS1
2,Cluster_2,GAS2L3
3,Cluster_3,GATSL3
2,Cluster_2,GCDH
4,Cluster_4,GCNT1
4,Cluster_4,GDF10
4,Cluster_4,GINS2
1,Cluster_1,GJB2
3,Cluster_3,GJB4
2,Cluster_2,GJB7
2,Cluster_2,GJC2
2,Cluster_2,GLA
3,Cluster_3,GML
1,Cluster_1,GNAO1
2,Cluster_2,GNAS-AS1
3,Cluster_3,GNG13
5,Cluster_5,GNRH1
2,Cluster_2,GOLGA2P2Y
2,Cluster_2,GOLGA6L10
4,Cluster_4,GOLT1B
3,Cluster_3,GPAT2
2,Cluster_2,GPC6
2,Cluster_2,GPR107
4,Cluster_4,GPR137B
3,Cluster_3,GPR144
1,Cluster_1,GPR162
3,Cluster_3,GPR172B
4,Cluster_4,GPR180
2,Cluster_2,GPR98
4,Cluster_4,GPRASP2
2,Cluster_2,GPSM1
3,Cluster_3,GPSM3
3,Cluster_3,GPX5
2,Cluster_2,GRASP
2,Cluster_2,GREM1
3,Cluster_3,GRIA4
3,Cluster_3,GRID2IP
3,Cluster_3,GRIK5
2,Cluster_2,GRIN2C
1,Cluster_1,GRIN2D
2,Cluster_2,GSTP1
2,Cluster_2,GTF3A
6,Cluster_6,GTF3C3
3,Cluster_3,GTPBP2
5,Cluster_5,GUCA1B
2,Cluster_2,GUCY1B2
5,Cluster_5,H19
2,Cluster_2,H2AFJ
2,Cluster_2,HADHB
3,Cluster_3,HAMP
4,Cluster_4,HARS2
5,Cluster_5,HCLS1
1,Cluster_1,HCN3
2,Cluster_2,HDAC6
1,Cluster_1,HDDC3
3,Cluster_3,HDGFL1
6,Cluster_6,HEATR3
5,Cluster_5,HERPUD1
2,Cluster_2,HES5
2,Cluster_2,HES7
2,Cluster_2,HEXDC
5,Cluster_5,HGD
5,Cluster_5,HHIP
4,Cluster_4,HIP1
4,Cluster_4,HIPK2
2,Cluster_2,HIST1H1C
6,Cluster_6,HIST1H1D
5,Cluster_5,HIST1H2AC
6,Cluster_6,HIST1H2AE
6,Cluster_6,HIST1H2AI
6,Cluster_6,HIST1H4F
3,Cluster_3,HIVEP1
2,Cluster_2,HLA-DPA1
4,Cluster_4,HLTF
5,Cluster_5,HMMR
1,Cluster_1,HNRNPH3
4,Cluster_4,HNRPDL
2,Cluster_2,HOXA2
5,Cluster_5,HOXB1
2,Cluster_2,HOXB2
2,Cluster_2,HOXB4
6,Cluster_6,HOXB9
2,Cluster_2,HOXC4
2,Cluster_2,HOXC6
2,Cluster_2,HOXD3
6,Cluster_6,HOXD8
3,Cluster_3,HR
5,Cluster_5,HRK
2,Cluster_2,HSBP1L1
2,Cluster_2,HSD17B1
6,Cluster_6,HSD17B7
4,Cluster_4,HSDL1
3,Cluster_3,HSP90AA5P
5,Cluster_5,HSP90B1
5,Cluster_5,HSP90B3P
3,Cluster_3,HSPA1L
5,Cluster_5,HSPA5
1,Cluster_1,HSPB1
5,Cluster_5,HSPB3
2,Cluster_2,HSPG2
2,Cluster_2,HTA
5,Cluster_5,HYLS1
2,Cluster_2,ICAM5
4,Cluster_4,ICMT
6,Cluster_6,ID1
6,Cluster_6,IDE
4,Cluster_4,IDH1
6,Cluster_6,IDI1
5,Cluster_5,IDI2-AS1
2,Cluster_2,IER2
2,Cluster_2,IER3
2,Cluster_2,IER5
5,Cluster_5,IFI27
2,Cluster_2,IFI27L1
2,Cluster_2,IFI30
2,Cluster_2,IFIT1
2,Cluster_2,IFITM1
5,Cluster_5,IFRD1
2,Cluster_2,IFT43
6,Cluster_6,IFT57
2,Cluster_2,IGF2
2,Cluster_2,IGF2BP3
3,Cluster_3,IGFBP5
1,Cluster_1,IGFLR1
6,Cluster_6,IGIP
6,Cluster_6,IKZF5
5,Cluster_5,IL13
3,Cluster_3,IL17RA
3,Cluster_3,IL18RAP
4,Cluster_4,IL1RAP
2,Cluster_2,ING1
3,Cluster_3,INHBC
2,Cluster_2,INSC
6,Cluster_6,INTS12
2,Cluster_2,INTU
4,Cluster_4,IQCC
2,Cluster_2,IRX4
2,Cluster_2,ISG15
5,Cluster_5,ISG20
4,Cluster_4,ISG20L2
3,Cluster_3,ISLR2
5,Cluster_5,ITGA10
2,Cluster_2,ITGA8
2,Cluster_2,ITIH4
2,Cluster_2,ITPR3
3,Cluster_3,IYD
4,Cluster_4,JAG1
1,Cluster_1,JAKMIP1
6,Cluster_6,JUND
4,Cluster_4,KALRN
2,Cluster_2,KBTBD10
4,Cluster_4,KBTBD4
4,Cluster_4,KBTBD6
4,Cluster_4,KBTBD7
4,Cluster_4,KBTBD8
3,Cluster_3,KCNC1
1,Cluster_1,KCNJ12
5,Cluster_5,KCNJ14
2,Cluster_2,KCNJ8
3,Cluster_3,KCNK15
6,Cluster_6,KCNT2
4,Cluster_4,KCTD10
4,Cluster_4,KCTD12
1,Cluster_1,KCTD19
4,Cluster_4,KEAP1
2,Cluster_2,KGFLP1
4,Cluster_4,KIAA0101
6,Cluster_6,KIAA0232
4,Cluster_4,KIAA1009
3,Cluster_3,KIAA1161
2,Cluster_2,KIAA1429
1,Cluster_1,KIAA1522
4,Cluster_4,KIAA1609
5,Cluster_5,KIAA1683
4,Cluster_4,KIAA1737
2,Cluster_2,KIF25
4,Cluster_4,KIF26A
2,Cluster_2,KIF27
3,Cluster_3,KIR3DX1
2,Cluster_2,KISS1R
4,Cluster_4,KIT
3,Cluster_3,KLF1
4,Cluster_4,KLF2
5,Cluster_5,KLF6
5,Cluster_5,KLF9
4,Cluster_4,KLHDC5
6,Cluster_6,KLHL15
1,Cluster_1,KLHL17
4,Cluster_4,KLHL2
2,Cluster_2,KLHL3
4,Cluster_4,KLHL9
3,Cluster_3,KLK2
6,Cluster_6,KLRAP1
6,Cluster_6,KPNA2
6,Cluster_6,KPNA4
2,Cluster_2,KRT18P55
3,Cluster_3,KRT3
2,Cluster_2,KRTAP1-3
3,Cluster_3,KRTAP10-12
2,Cluster_2,KRTAP10-8
2,Cluster_2,KRTAP19-1
2,Cluster_2,KRTAP19-5
3,Cluster_3,KRTAP19-8
3,Cluster_3,KRTAP2-1
3,Cluster_3,KRTAP4-12
3,Cluster_3,KRTAP5-2
5,Cluster_5,KRTDAP
4,Cluster_4,KTI12
4,Cluster_4,L3MBTL3
3,Cluster_3,LAIR1
2,Cluster_2,LAMA3
5,Cluster_5,LAMB2P1
6,Cluster_6,LARP4
4,Cluster_4,LAT2
3,Cluster_3,LCE6A
5,Cluster_5,LEFTY1
4,Cluster_4,LEMD2
4,Cluster_4,LEPREL4
3,Cluster_3,LGALS3BP
5,Cluster_5,LGALS9C
4,Cluster_4,LIG1
3,Cluster_3,LIMD2
3,Cluster_3,LIME1
1,Cluster_1,LINC00087
3,Cluster_3,LINC00092
1,Cluster_1,LINC00094
3,Cluster_3,LINC00106
2,Cluster_2,LINC00173
6,Cluster_6,LINC00174
3,Cluster_3,LINC00494
3,Cluster_3,LINGO4
2,Cluster_2,LINS
3,Cluster_3,LMX1B
3,Cluster_3,LOC100127904
3,Cluster_3,LOC100128338
6,Cluster_6,LOC100128563
5,Cluster_5,LOC100128670
3,Cluster_3,LOC100128843
3,Cluster_3,LOC100129196
3,Cluster_3,LOC100129269
3,Cluster_3,LOC100129292
5,Cluster_5,LOC100129387
6,Cluster_6,LOC100129399
4,Cluster_4,LOC100129974
1,Cluster_1,LOC100130111
5,Cluster_5,LOC100130232
2,Cluster_2,LOC100130547
5,Cluster_5,LOC100130691
2,Cluster_2,LOC100131089
3,Cluster_3,LOC100131150
2,Cluster_2,LOC100131262
3,Cluster_3,LOC100131432
3,Cluster_3,LOC100131864
3,Cluster_3,LOC100132197
3,Cluster_3,LOC100132790
3,Cluster_3,LOC100133286
3,Cluster_3,LOC100133985
3,Cluster_3,LOC100144604
5,Cluster_5,LOC100190939
3,Cluster_3,LOC100216545
5,Cluster_5,LOC100240734
